idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
6129,07INM_18570,07DCC0091S,CUAUHTEMOC,144110,07DCC0091S,
6130,07INM_18615,07KJN1113T,PREESCOLAR CONAFE,144110,07KJN1113T,
6131,07INM_18616,07DPB2990C,ACAMAPICHTLI,144110,07DPB2990C,
6132,07INM_18512,07ETV1374J,"TELESECUNDARIA     1351     EMILIANO     ZAPATA
SALAZAR",1506,,
6133,07INM_18529,07ETV0766Q,TELESECUNDARIA 740 JUAN SABINES GUTIERREZ,144110,07ETV0766Q,
6134,07INM_18531,07DCC1162C,EMILIANO ZAPATA SALAZAR,144110,07DCC1162C,
6135,07INM_18553,07KJN3078R,PREESCOLAR CONAFE,144110,07KJN3078R,
6136,07INM_18554,07DPB2379M,JAIME SABINES GUTIERREZ,144110,07DPB2379M,
6137,07INM_18551,07KPR5309W,PRIMARIA CONAFE,144110,07KPR5309W,
6138,07INM_18577,07KPR1327K,PRIMARIA CONAFE,144110,07KPR1327K,
6139,07INM_18588,07KPR4410D,PRIMARIA CONAFE,144110,07KPR4410D,
6140,07INM_18515,07DCC1809A,JUAN ESCUTIA,1504,07DCC1809A,
6141,07INM_18679,07DPB1035L,FRANCISCO VILLA,144110,07DPB1035L,
6142,07INM_18680,07DCC2022J,LEONA VICARIO,144110,07DCC2022J,
6143,07INM_18572,07DCC0357I,VICENTE SUAREZ,144110,07DCC0357I,
6144,07INM_18573,07DPB0636Y,BENITO JUAREZ GARCIA,144110,07DPB0636Y,
6145,07INM_18651,07KPR2007G,PRIMARIA CONAFE,144110,07KPR2007G,
6146,07INM_18526,07KPR5873S,PRIMARIA CONAFE,144110,07KPR5873S,
6147,07INM_18495,07KPR1328J,PRIMARIA CONAFE,144110,07KPR1328J,
6148,07INM_18496,07KTV0274O,SECUNDARIA COMUNITARIA,144110,07KTV0274O,
6149,07INM_18483,07KJN2771K,PREESCOLAR COMUNITARIO,144110,,
6150,07INM_18605,07KPR3682O,PRIMARIA CONAFE,144110,07KPR3682O,
6151,07INM_18583,07DPB0211T,JOSEFA ORTIZ DE DOMINGUEZ,144110,07DPB0211T,
6152,07INM_18584,07DCC1746F,EMILIO RABASA ESTEBANELL,144110,07DCC1746F,
6153,07INM_18499,07DPR4801I,GABRIELA MISTRAL,144110,07DPR4801I,
6154,07INM_18555,07KPR4461K,PRIMARIA CONAFE,144110,07KPR4461K,
6155,07INM_18556,07DCC0808V,JOSEFA ORTIZ DE DOMINGUEZ,144110,07DCC0808V,
6156,07INM_18557,07DPB0384K,PLAN DE AYALA,144110,07DPB0384K,
6157,07INM_18793,07EPR0645F,FRANCISCO VILLA,144110,07EPR0645F,
6158,07INM_18698,07KPR2542H,PRIMARIA CONAFE,2562,07KPR2542H,
6159,07INM_18699,07KPR3298T,PRIMARIA CONAFE,2562,07KPR2542H,
6160,07INM_18703,07KPR2541I,PRIMARIA CONAFE,144110,07KPR2544F,
6161,07INM_18704,07KPR2544F,PRIMARIA CONAFE,144110,07KPR2544F,
6162,07INM_18705,07KJN2241V,PREESCOLAR CONAFE,144110,07KJN2241V,
6163,07INM_18706,07DCC2058Y,MARIA MONTESSORI,144110,07DCC2058Y,
6164,07INM_18707,07DPB1248N,IGNACIO ZARAGOZA,144110,07DPB1248N,
6165,07INM_18787,07KPR3460E,PRIMARIA CONAFE,144110,07KPR1741Z,
6166,07INM_18788,07KPR1741Z,PRIMARIA CONAFE,144110,07KPR1741Z,
6167,07INM_18758,07KPR1478Q,PRIMARIA CONAFE,2572,07KPR5448X,
6168,07INM_18759,07KPR6026W,PRIMARIA CONAFE,2572,07KPR5448X,
6169,07INM_18760,07EES0193N,"CENTRO   DE   EDUCACION   BASICA   FUNDACION
BANCOMER-GOBIERNO DEL ESTADO",2572,,
